Year,Month,Day,Period,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
2020,1,8,5,40.24,130.64,208.28,109.96
2020,1,8,6,42.88,145.24,266.28,27.36
2020,1,8,7,56.4,125.12,335.04,27.6
2020,1,8,8,59.2,159.08,337.24,177.12
2020,1,8,9,59.28,265.16,338.8,259.92
2020,1,8,10,59.32,314.68,338.8,249
2020,1,8,11,59.32,319.56,335.24,262.32
2020,1,8,12,58.04,315.24,335.36,285.4
2020,1,8,13,58.28,315.76,338.16,285.4
2020,1,8,14,58.4,319.4,337.44,285.4
2020,1,8,15,58.84,319.6,335.68,285.4
2020,1,8,16,58.6,318.4,335.16,283.68
2020,1,8,17,58.8,315.44,334.12,284.4
2020,1,8,18,59.12,319,337.36,285.4
2020,1,8,19,59.08,319.12,336.48,282.12
2020,1,8,20,58.88,319.56,315.52,281.68
2020,1,8,21,58.08,319.24,310.56,283.24
2020,1,8,22,58.16,319.64,311.36,284.04
2020,1,8,23,58.72,317.96,291.6,282.88
2020,1,8,24,58.8,316.64,289.48,285
2020,1,9,1,58.72,317.52,293.56,285.16
2020,1,9,2,58.48,316.28,269.8,285.4
2020,1,9,3,59.12,315.68,299.52,285.4
2020,1,9,4,59.04,315.72,297.88,285.4
2020,1,9,5,58.92,314.92,273.92,285.4
2020,1,9,6,58.8,314.28,242.96,284.84
2020,1,9,7,58.88,313.96,203.96,280.56
2020,1,9,8,58.96,311.16,173.28,267.2
2020,1,9,9,58.6,297.2,155.52,238.92
2020,1,9,10,57.84,278.4,150.68,226.92
2020,1,9,11,50.72,203.36,119.28,114.72
2020,1,9,12,32.52,117.36,111.36,33.64
2020,1,9,13,17.72,53.6,72.88,51.64
2020,1,9,14,10.96,16.96,70.52,58.56
2020,1,9,15,4.32,11.28,42.4,34.24
2020,1,9,16,2.08,52.4,31.92,47.48
2020,1,9,17,3.68,55.32,30.48,51.56
2020,1,9,18,5.64,131.24,0,48.64
2020,1,9,19,12.12,274.28,1.16,212.64
2020,1,9,20,25.44,267.88,26.72,267.6
2020,1,9,21,33.16,253.32,85.04,266
2020,1,9,22,46.88,253.88,135.72,261.92
2020,1,9,23,45.08,270.4,101.28,261.4
2020,1,9,24,48.88,267.04,151.52,260.96
2020,1,10,1,45,254.08,238.8,263.4
2020,1,10,2,34.8,254.72,255.16,262.8
2020,1,10,3,40.72,274.12,202.32,262.92
2020,1,10,4,40.68,274.6,134.56,265.64
2020,1,10,5,31.8,282.16,120.44,263.72
2020,1,10,6,18.52,296.4,140.64,265.96
2020,1,10,7,11.4,309,197.92,272.84
2020,1,10,8,20.84,303.12,205.36,280.84
2020,1,10,9,35.16,289.84,235.08,278.16
2020,1,10,10,36.8,289.6,263.72,275.2
2020,1,10,11,34.52,286.6,238.08,275.52
2020,1,10,12,30.08,263.84,214.16,276.76
2020,1,10,13,30.28,246.16,169.88,277.92
2020,1,10,14,36.16,237.76,111.24,274.68
2020,1,10,15,44.28,222.8,81.8,272.96
2020,1,10,16,37.4,236.92,48.32,273.92
2020,1,10,17,31,294.88,0,281.84
2020,1,10,18,0,319.64,0,284.96
2020,1,10,19,0,313.2,61,284.72
2020,1,10,20,5,250.68,158.2,284.84
2020,1,10,21,21,156.16,150.88,284.96
2020,1,10,22,14,134.24,124.64,259.08
2020,1,10,23,22.12,300.96,131.64,263.36
2020,1,10,24,23.36,275.48,133.16,276.32
2020,1,11,1,11.8,250.76,84.08,271.88
2020,1,11,2,7.6,207.48,68.68,275.48
2020,1,11,3,6.28,217.84,70.48,277.2
2020,1,11,4,16.6,239.36,111.24,275.08
2020,1,11,5,16.96,194.6,73.56,273.48
2020,1,11,6,12.72,139.44,85.2,233.12
2020,1,11,7,5.6,134.92,68.84,103.72
2020,1,11,8,3.48,71.56,21.52,15.36
2020,1,11,9,2.68,45.44,14.88,18.08
2020,1,11,10,1.32,48,5.36,21.04
2020,1,11,11,0,57.4,0,17.96
2020,1,11,12,5.52,60.96,54.44,7.44
2020,1,11,13,19.12,60.8,134.92,27.2
2020,1,11,14,28.16,59.08,144.56,61.52
2020,1,11,15,42.24,61.6,117.52,54.92
2020,1,11,16,44.48,80.6,87.36,54.2
2020,1,11,17,53.24,106.44,80.32,94.12
2020,1,11,18,40.8,96.36,87.84,144.2
2020,1,11,19,15.08,133.36,106.16,213.92
2020,1,11,20,10.2,152.24,142.92,204.2
2020,1,11,21,5.84,180.68,221.48,252.56
2020,1,11,22,22.12,137.44,245.4,230.2
2020,1,11,23,13.88,261.52,267.6,236.04
2020,1,11,24,20.12,228.8,245.76,259.28
2020,1,12,1,28.64,252.96,265.72,264.52
2020,1,12,2,25.52,257.88,208,277.84
2020,1,12,3,29.52,279.64,288.24,275.08
2020,1,12,4,32.48,309.36,276.24,284.16
2020,1,12,5,29.68,295.04,251.68,284.08
2020,1,12,6,31.56,296.92,230.2,283.88
2020,1,12,7,28.96,289.96,230.52,271.24
2020,1,12,8,29,295.36,193,269.84
2020,1,12,9,26.96,291.36,181,263.8
2020,1,12,10,28.16,296.32,182.32,261.32
2020,1,12,11,28.52,277.28,139.44,246.76
2020,1,12,12,21.12,276.2,92.12,229.72
2020,1,12,13,17.32,262.04,73.12,231.56
2020,1,12,14,17.4,250.44,51.8,235
2020,1,12,15,17.2,240.04,62.44,229.6
2020,1,12,16,16.84,228.44,83.08,225.4
2020,1,12,17,11.96,234.08,93.76,232.52
2020,1,12,18,24.12,228.12,78.96,241.08
2020,1,12,19,29.32,240.84,147.44,216.84
2020,1,12,20,24.64,198.52,251.52,218.08
2020,1,12,21,14,191.28,238.52,197.76
2020,1,12,22,12.24,209.52,229.96,176.92
2020,1,12,23,22.32,211.92,215.04,168.56
2020,1,12,24,27.52,211.32,155.08,167.48
2020,1,13,1,32.4,190.68,179.08,180.08
2020,1,13,2,43.8,183.64,259.96,172.56
2020,1,13,3,51.56,202.68,188.96,177.64
2020,1,13,4,56.76,258.88,173.28,212.48
2020,1,13,5,45.4,238.44,180.84,177.56
2020,1,13,6,56.36,197.2,195.76,136.52
2020,1,13,7,35.08,166,107.96,123.56
2020,1,13,8,34.68,142.12,71.96,122.44
2020,1,13,9,13.44,94.8,38.72,128.64
2020,1,13,10,10.16,87.44,59.64,62.56
2020,1,13,11,18.12,55.4,95,71.16
2020,1,13,12,2.56,28.8,114.4,51.88
2020,1,13,13,6.2,30.28,64.32,94.48
2020,1,13,14,11.56,31.24,63.08,82.4
2020,1,13,15,35.68,37.64,82.16,138.68
2020,1,13,16,29.4,74.48,89.16,202.08
2020,1,13,17,41.96,134.16,190.8,202.32
2020,1,13,18,58.08,257.44,251.84,267.64
2020,1,13,19,56.32,297.48,276.92,259.48
2020,1,13,20,20,194.32,311.24,258.88
2020,1,13,21,21.6,284.48,301.04,269.08
2020,1,13,22,32.56,281.08,323.56,265.32
2020,1,13,23,13.88,270.6,308.92,260
2020,1,13,24,25.76,313.88,310.64,266.76
2020,1,14,1,46.32,311.28,238.6,276.68
2020,1,14,2,51.68,307.24,272.64,276.28
2020,1,14,3,59.16,315.24,306.48,278.04
2020,1,14,4,58.6,318.6,333.68,280.6
2020,1,14,5,59.12,318.28,336.84,278.4
2020,1,14,6,59.16,316.6,316.2,282.6
2020,1,14,7,58.84,316.36,216.08,282.68
2020,1,14,8,58.24,317.24,219.52,281.92
2020,1,14,9,58.32,317.48,289.92,284.44
2020,1,14,10,57.64,316.64,303.76,284.4
2020,1,14,11,54.56,316,317.12,284.44
2020,1,14,12,54.24,315.16,275.64,285.4
2020,1,14,13,53.08,308.56,241.8,285.32
2020,1,14,14,49.6,293.6,234.84,268.04
2020,1,14,15,49.8,293.2,160,239.76
2020,1,14,16,47,282.52,150.92,246.4
2020,1,14,17,28.84,289.04,133.32,207.24
2020,1,14,18,5.24,0,3.68,181.36
2020,1,14,19,46.36,0,12.8,174.04
2020,1,14,20,53.96,0,33.04,159.72
2020,1,14,21,56.68,12.96,77.6,187.52
2020,1,14,22,25.52,106.96,60.64,116.84
2020,1,14,23,29.4,156.72,142.84,103.24
2020,1,14,24,36.04,115.96,163.16,125.12
2020,1,15,1,42.6,156.88,201.4,186.84
2020,1,15,2,26.84,149.76,188.68,176.2
2020,1,15,3,20.84,221.52,207.76,257.32
2020,1,15,4,29.28,237.44,126.4,248.68
2020,1,15,5,13.04,180.4,80.92,183.64
2020,1,15,6,9.44,198.76,5.76,79.44
2020,1,15,7,13.08,222.16,61.4,141.52
2020,1,15,8,30.12,189.88,97.04,152.96
2020,1,15,9,31.68,180.52,143.36,166.6
2020,1,15,10,33.68,172.6,127.96,141.44
2020,1,15,11,35.84,112.36,124.8,123.92
2020,1,15,12,16.4,101.68,141.16,86.36
2020,1,15,13,16.12,112.56,113.12,52.48
2020,1,15,14,9.84,125.28,98.84,60.72
2020,1,15,15,17.52,101.04,106.56,35.4
2020,1,15,16,12.84,80.76,112.08,26.12
2020,1,15,17,7.6,71.68,61.8,33.96
2020,1,15,18,0,8.24,0,0
2020,1,15,19,0,0,0,0
2020,1,15,20,0,1.84,0,0
2020,1,15,21,0,0,0,0
2020,1,15,22,13.68,0,3.16,0
2020,1,15,23,0,5.28,0,0
2020,1,15,24,0,26.24,0,3.88
2020,1,16,1,0,15.28,0,1.68
2020,1,16,2,9.64,19.92,0,1.8
2020,1,16,3,25.36,64.24,0.28,26.68
2020,1,16,4,22.32,89.88,92.92,76.84
2020,1,16,5,20,90.08,111.44,85.6
2020,1,16,6,26.6,147.56,33.4,106.72
2020,1,16,7,16.2,207.68,3.16,129.96
2020,1,16,8,10.24,223.92,1,169
2020,1,16,9,16.08,240.28,9.56,221.68
2020,1,16,10,19.4,210.92,11.96,239.24
2020,1,16,11,37.6,200.08,25.16,160.36
2020,1,16,12,35.56,173.2,7.44,131.44
2020,1,16,13,32.96,156.44,23.68,110.64
2020,1,16,14,34.12,122.32,44.36,131.72
2020,1,16,15,22.64,123.96,115.4,84.16
2020,1,16,16,19.28,163.32,118.68,88.04
2020,1,16,17,31.12,172.28,148.32,90.16
2020,1,16,18,48.32,188.08,175.56,103.44
2020,1,16,19,57.36,202.2,232.88,186.88
2020,1,16,20,57.64,267.6,257.8,223.28
2020,1,16,21,56.52,259.96,306.12,221.44
2020,1,16,22,54.64,276.4,314.16,177.96
2020,1,16,23,57.92,291.8,322.4,241.28
2020,1,16,24,57.4,303.16,298.4,270.72
2020,1,17,1,56.28,309.92,312.52,266.48
2020,1,17,2,58.32,303.68,331.92,270.36
2020,1,17,3,55.28,314.16,317.32,246.52
2020,1,17,4,59.04,315.36,333.8,266.04
2020,1,17,5,58.68,318.52,320.36,275.68
2020,1,17,6,56.92,317.16,278.12,274
2020,1,17,7,58.08,316.16,316.56,275.12
2020,1,17,8,56.52,314.08,314.4,269.56
2020,1,17,9,55.48,316.28,308.48,266.4
2020,1,17,10,58,318.28,328.84,272.24
2020,1,17,11,57.32,311.68,309.68,265.4
2020,1,17,12,57.44,316.4,317.04,271.08
2020,1,17,13,59.16,315.8,331.48,279.32
2020,1,17,14,59.04,317.8,299.96,279.68
2020,1,17,15,55.96,316.84,285.48,273.68
2020,1,17,16,58.52,315,320.8,280.92
2020,1,17,17,50.4,307.56,195.2,282.92
2020,1,17,18,57.84,302.52,302.24,271.92
2020,1,17,19,56.84,307.2,274.88,277.16
2020,1,17,20,55.6,304.88,309.16,275.2
2020,1,17,21,56.32,284.16,266.24,269.92
2020,1,17,22,57.36,277.12,252.44,270.52
2020,1,17,23,52.2,275,198.72,261.92
2020,1,17,24,36.28,283.96,189,267.48
2020,1,18,1,29.76,283.44,222.08,265.76
2020,1,18,2,27.68,275.16,143.88,265
2020,1,18,3,16.4,286.64,90.32,272.36
2020,1,18,4,10.12,232.32,57.32,268.44
2020,1,18,5,10.6,190.6,65.84,268.24
2020,1,18,6,8.36,184.88,41.52,260.16
2020,1,18,7,9.64,196.32,20.84,254.2
2020,1,18,8,11.64,222.12,9.52,263.16
2020,1,18,9,5.2,232.96,2.04,255.4
2020,1,18,10,2.64,234.52,0.04,212.04
2020,1,18,11,2.04,179.68,0.64,116.48
2020,1,18,12,2.4,162.96,4.8,72.44
2020,1,18,13,1.48,152.48,9.36,40.36
2020,1,18,14,0.24,153.52,13.6,15.84
2020,1,18,15,0.08,124.2,15.08,6.76
2020,1,18,16,0.56,76.8,5.2,7.4
2020,1,18,17,1,55.4,1.72,3.48
2020,1,18,18,2.32,18.28,4.8,28.64
2020,1,18,19,0.8,8.96,0.84,40.68
2020,1,18,20,0.08,10.44,0.12,16.12
2020,1,18,21,1.48,14.68,15.68,23.4
2020,1,18,22,1.44,18.52,36.64,21.04
2020,1,18,23,2.28,33.28,32.64,21.6
2020,1,18,24,1.56,72.16,33.96,33.84
2020,1,19,1,1.2,86.04,10,25.68
2020,1,19,2,1.72,91.48,0.52,24.64
2020,1,19,3,4.12,101.72,0,26.4
2020,1,19,4,10.88,97.12,0.08,18.32
2020,1,19,5,16.28,81.48,1.8,10.32
2020,1,19,6,18.72,75.88,6.64,7.04
2020,1,19,7,20.2,86.8,27.32,8.8
2020,1,19,8,19.24,91.16,46.84,17.8
2020,1,19,9,24.44,67.68,63.92,18.84
2020,1,19,10,32.24,65.68,85.76,13.24
2020,1,19,11,29.64,36.56,72.08,6.64
2020,1,19,12,14.92,43.84,46.16,3.84
2020,1,19,13,7.64,60.84,42.04,4.76
2020,1,19,14,8.2,49.68,51.92,3.08
2020,1,19,15,7.24,37.16,52,4.56
2020,1,19,16,5.6,25.44,39.92,3.2
2020,1,19,17,0.88,8.36,16.44,9.36
2020,1,19,18,17.84,30.28,97.8,0.52
2020,1,19,19,33.4,89.84,52.76,54.48
2020,1,19,20,21.2,79,85.04,66.4
2020,1,19,21,14.68,107.96,95.24,146.08
2020,1,19,22,3.72,191.88,97.08,198.4
2020,1,19,23,2.56,211.72,147.08,203.44
2020,1,19,24,19.88,228.4,136,192.24
2020,1,20,1,43.88,248.12,158.44,120.6
2020,1,20,2,27.16,269.64,150.08,197.44
2020,1,20,3,32.68,270,161.92,213.52
2020,1,20,4,40.48,273.48,137.76,213.52
2020,1,20,5,51,267.16,170.4,200.36
2020,1,20,6,49.96,260.44,150.16,188.12
2020,1,20,7,38.36,257.88,120.32,179.12
2020,1,20,8,18.56,266.72,116.44,177.28
2020,1,20,9,19.52,262.88,151.72,166.92
2020,1,20,10,26,246.32,166.04,142.92
2020,1,20,11,24.64,200.68,143.64,88.08
2020,1,20,12,11.08,137.28,80.08,16.56
2020,1,20,13,8.92,86.44,39.48,4.8
2020,1,20,14,21.04,60.36,34.52,4.08
2020,1,20,15,24.12,28.84,32.44,0.68
2020,1,20,16,19.52,6.2,33.52,0.32
2020,1,20,17,16.92,3.04,53.52,0.96
2020,1,20,18,7.04,2.88,41.12,0.52
2020,1,20,19,5.44,1,43.56,4.28
2020,1,20,20,2.96,3.36,43.52,17.12
2020,1,20,21,1,5.68,33.64,29.8
2020,1,20,22,0.24,12.28,30.44,50.72
2020,1,20,23,1.96,25.76,30.12,81.68
2020,1,20,24,9.52,38.84,23.28,120.08
2020,1,21,1,11.52,42.16,21.96,137.88
2020,1,21,2,6.64,37.8,19.8,132.52
2020,1,21,3,2.04,43.72,19.6,126.12
2020,1,21,4,0.56,41.16,18.04,112.12
2020,1,21,5,0.48,70.32,8.08,139.08
2020,1,21,6,3.2,116,2.8,149.56
2020,1,21,7,4.92,160.36,0.6,154.32
2020,1,21,8,2.8,174.6,0.88,149.92
2020,1,21,9,1.28,180.16,1.28,198.24
2020,1,21,10,0.28,194.36,1.32,243.24
2020,1,21,11,0.44,204.52,2.04,249.6
2020,1,21,12,0.24,162.04,1.16,232.96
2020,1,21,13,0.16,99.4,0.32,137.64
2020,1,21,14,0.16,72.04,0.04,138.44
2020,1,21,15,0.08,77.84,0.08,205.84
2020,1,21,16,0.04,86.68,0.48,251.64
2020,1,21,17,0.12,101.52,0.32,256.04
2020,1,21,18,6.96,184.8,0.04,257.12
2020,1,21,19,6.44,247.44,1.04,263.56
2020,1,21,20,4.8,241.64,2.64,272.08
2020,1,21,21,2.96,239.64,6.76,277.72
2020,1,21,22,1.12,235.76,11.96,278.32
2020,1,21,23,0.12,231.28,14.12,275.68
2020,1,21,24,0.04,234.48,12.88,267
2020,1,22,1,0,240.76,19.12,255.96
2020,1,22,2,0,240.4,32.64,252.4
2020,1,22,3,0,229.44,43.4,247.6
2020,1,22,4,0.04,212.64,50.52,250.28
2020,1,22,5,0.08,174.92,37.56,251.84
2020,1,22,6,0.36,142.16,38,252.72
2020,1,22,7,1.28,147.64,52.32,257.52
2020,1,22,8,2.36,154.6,66.56,265.44
2020,1,22,9,3.72,241.16,79.12,283.64
2020,1,22,10,2.64,268.68,86.96,285.04
2020,1,22,11,1.4,184.2,95.2,285.4
2020,1,22,12,0.44,57.4,74.92,246.88
2020,1,22,13,0,18.24,38.64,194.6
2020,1,22,14,0,24.72,41.72,136.52
2020,1,22,15,0,32.08,39.56,110.44
2020,1,22,16,0.08,52.32,32,178.4
2020,1,22,17,0.32,5,20.24,254.68
2020,1,22,18,0.84,52.28,57.96,246.12
2020,1,22,19,6.88,83.8,297.44,238.48
2020,1,22,20,20.64,153.12,309.96,81.56
2020,1,22,21,10.12,136.24,233.68,239.24
2020,1,22,22,25.28,211.96,308.16,257.12
2020,1,22,23,54.84,111.32,285.76,242.56
2020,1,22,24,55.68,261.88,281.28,217.6
2020,1,23,1,41.76,204.44,256.2,218.36
2020,1,23,2,55.2,176.24,317.92,158.24
2020,1,23,3,57.72,234.56,326.28,163.52
2020,1,23,4,57.6,290.6,333.2,228.32
2020,1,23,5,56.32,312.2,335.84,277.08
2020,1,23,6,57.84,313.44,334.96,283.68
2020,1,23,7,59.04,313.72,337.52,285.28
2020,1,23,8,59.12,307.16,336.48,285.28
2020,1,23,9,58.56,310.76,328.2,282.36
2020,1,23,10,56.96,307.84,325.84,270.84
2020,1,23,11,42.96,282.32,299.72,262.36
2020,1,23,12,43.08,279.16,306.48,252.72
2020,1,23,13,56.2,296.64,308.4,251.88
2020,1,23,14,57.6,288.28,289.92,241.76
2020,1,23,15,54.76,287.88,262.4,213.76
2020,1,23,16,55.92,250.4,269.84,196.88
2020,1,23,17,47.92,224.24,209.04,117.44
2020,1,23,18,26.64,125.6,251.36,11.56
2020,1,23,19,47.64,168.72,174.44,58.16
2020,1,23,20,47.76,217.76,191.2,99.52
2020,1,23,21,57.84,220.12,275.36,103.76
2020,1,23,22,55.24,261.64,203.64,169.84
2020,1,23,23,55.76,249.44,335.84,173.08
2020,1,23,24,53.28,281.08,292.72,247.8
2020,1,24,1,58.48,303.08,291.24,267.08
2020,1,24,2,53.16,301.96,257.76,267.4
2020,1,24,3,50.6,279,230,230.56
2020,1,24,4,48.68,292.08,204.96,184.04
2020,1,24,5,47.16,293.4,220.24,166.44
2020,1,24,6,54.16,278.48,212.56,145.4
2020,1,24,7,55.24,254.68,287.52,94.2
2020,1,24,8,57.44,262.76,315.24,241.36
2020,1,24,9,57.44,303.6,311.48,191.48
2020,1,24,10,58,305.88,302.72,256.44
2020,1,24,11,58.44,308.32,307.4,264.6
2020,1,24,12,58.48,307.12,281.4,269.76
2020,1,24,13,58.64,301.56,260.44,202.04
2020,1,24,14,58.84,295.92,275.16,263
2020,1,24,15,58.64,270.2,275.36,272.88
